date,wifi_first_south,wifi_second_south,wifi_third_south,wifi_fourth_south
2018/5/22 00:00,NaN,NaN,38,26
2018/5/22 00:10,NaN,NaN,37,26
2018/5/22 00:20,NaN,NaN,37,28
2018/5/22 00:30,NaN,NaN,36,27
2018/5/22 00:40,NaN,NaN,36,28
2018/5/22 00:50,NaN,NaN,36,28
2018/5/22 01:00,NaN,NaN,36,26
2018/5/22 01:10,NaN,NaN,36,26
2018/5/22 01:20,NaN,NaN,37,26
2018/5/22 01:30,NaN,NaN,36,26
2018/5/22 01:40,NaN,NaN,36,26
2018/5/22 01:50,NaN,NaN,36,25
2018/5/22 02:00,NaN,NaN,36,26
2018/5/22 02:10,NaN,NaN,36,25
2018/5/22 02:20,NaN,NaN,36,24
2018/5/22 02:30,NaN,NaN,37,25
2018/5/22 02:40,NaN,NaN,37,25
2018/5/22 02:50,NaN,NaN,37,25
2018/5/22 03:00,NaN,NaN,37,25
2018/5/22 03:10,NaN,NaN,37,24
2018/5/22 03:20,NaN,NaN,37,25
2018/5/22 03:30,NaN,NaN,37,25
2018/5/22 03:40,NaN,NaN,36,24
2018/5/22 03:50,NaN,NaN,36,25
2018/5/22 04:00,NaN,NaN,37,25
2018/5/22 04:10,NaN,NaN,37,25
2018/5/22 04:20,NaN,NaN,37,24
2018/5/22 04:30,NaN,NaN,37,25
2018/5/22 04:40,NaN,NaN,37,25
2018/5/22 04:50,NaN,NaN,35,23
2018/5/22 05:00,NaN,NaN,36,23
2018/5/22 05:10,NaN,NaN,36,23
2018/5/22 05:20,NaN,NaN,37,23
2018/5/22 05:30,NaN,NaN,37,23
2018/5/22 05:40,NaN,NaN,38,21
2018/5/22 05:50,NaN,NaN,39,22
2018/5/22 06:00,NaN,NaN,41,23
2018/5/22 06:10,NaN,NaN,40,23
2018/5/22 06:20,NaN,NaN,42,23
2018/5/22 06:30,NaN,NaN,39,23
2018/5/22 06:40,NaN,NaN,43,24
2018/5/22 06:50,NaN,NaN,48,24
2018/5/22 07:00,NaN,NaN,52,24
2018/5/22 07:10,NaN,NaN,50,24
2018/5/22 07:20,NaN,NaN,50,22
2018/5/22 07:30,NaN,NaN,51,24
2018/5/22 07:40,NaN,NaN,52,26
2018/5/22 07:50,NaN,NaN,52,27
2018/5/22 08:00,NaN,NaN,61,27
2018/5/22 08:10,NaN,NaN,62,28
2018/5/22 08:20,NaN,NaN,57,27
2018/5/22 08:30,NaN,NaN,60,28
2018/5/22 08:40,NaN,NaN,59,27
2018/5/22 08:50,NaN,NaN,63,32
2018/5/22 09:00,NaN,NaN,74,32
2018/5/22 09:10,NaN,NaN,86,39
2018/5/22 09:20,NaN,NaN,88,47
2018/5/22 09:30,NaN,NaN,89,48
2018/5/22 09:40,NaN,NaN,101,50
2018/5/22 09:50,NaN,NaN,100,54
2018/5/22 10:00,NaN,NaN,93,55
2018/5/22 10:10,NaN,NaN,92,51
2018/5/22 10:20,NaN,NaN,93,56
2018/5/22 10:30,NaN,NaN,91,63
2018/5/22 10:40,NaN,NaN,88,71
2018/5/22 10:50,NaN,NaN,82,76
2018/5/22 11:00,NaN,NaN,84,78
2018/5/22 11:10,NaN,NaN,84,84
2018/5/22 11:20,NaN,NaN,83,81
2018/5/22 11:30,NaN,NaN,86,85
2018/5/22 11:40,NaN,NaN,93,87
2018/5/22 11:50,NaN,NaN,85,82
2018/5/22 12:00,NaN,NaN,85,82
2018/5/22 12:10,NaN,NaN,88,78
2018/5/22 12:20,NaN,NaN,86,80
2018/5/22 12:30,NaN,NaN,87,81
2018/5/22 12:40,NaN,NaN,79,92
2018/5/22 12:50,NaN,NaN,82,94
2018/5/22 13:00,NaN,NaN,85,90
2018/5/22 13:10,NaN,NaN,86,88
2018/5/22 13:20,NaN,NaN,85,90
2018/5/22 13:30,NaN,NaN,82,87
2018/5/22 13:40,NaN,NaN,82,88
2018/5/22 13:50,NaN,NaN,79,89
2018/5/22 14:00,NaN,NaN,82,90
2018/5/22 14:10,NaN,NaN,85,89
2018/5/22 14:20,NaN,NaN,88,89
2018/5/22 14:30,NaN,NaN,86,89
2018/5/22 14:40,NaN,NaN,87,89
2018/5/22 14:50,NaN,NaN,86,86
2018/5/22 15:00,NaN,NaN,90,92
2018/5/22 15:10,NaN,NaN,90,91
2018/5/22 15:20,NaN,NaN,91,88
2018/5/22 15:30,NaN,NaN,87,88
2018/5/22 15:40,NaN,NaN,82,94
2018/5/22 15:50,NaN,NaN,73,93
2018/5/22 16:00,NaN,NaN,74,94
2018/5/22 16:10,NaN,NaN,80,76
2018/5/22 16:20,NaN,NaN,69,74
2018/5/22 16:30,NaN,NaN,64,71
2018/5/22 16:40,NaN,NaN,57,62
2018/5/22 16:50,NaN,NaN,57,62
2018/5/22 17:00,NaN,NaN,53,64
2018/5/22 17:10,NaN,NaN,51,61
2018/5/22 17:20,NaN,NaN,53,55
2018/5/22 17:30,NaN,NaN,53,55
2018/5/22 17:40,NaN,NaN,48,54
2018/5/22 17:50,NaN,NaN,51,49
2018/5/22 18:00,NaN,NaN,49,44
2018/5/22 18:10,NaN,NaN,45,42
2018/5/22 18:20,NaN,NaN,45,39
2018/5/22 18:30,NaN,NaN,44,37
2018/5/22 18:40,NaN,NaN,41,33
2018/5/22 18:50,NaN,NaN,41,32
2018/5/22 19:00,NaN,NaN,42,30
2018/5/22 19:10,NaN,NaN,44,30
2018/5/22 19:20,NaN,NaN,43,30
2018/5/22 19:30,NaN,NaN,43,28
2018/5/22 19:40,NaN,NaN,40,27
2018/5/22 19:50,NaN,NaN,41,28
2018/5/22 20:00,NaN,NaN,40,27
2018/5/22 20:10,NaN,NaN,40,28
2018/5/22 20:20,NaN,NaN,40,28
2018/5/22 20:30,NaN,NaN,40,28
2018/5/22 20:40,NaN,NaN,40,28
2018/5/22 20:50,NaN,NaN,40,27
2018/5/22 21:00,NaN,NaN,39,29
2018/5/22 21:10,NaN,NaN,38,29
2018/5/22 21:20,NaN,NaN,39,29
2018/5/22 21:30,NaN,NaN,39,29
2018/5/22 21:40,NaN,NaN,39,29
2018/5/22 21:50,NaN,NaN,41,28
2018/5/22 22:00,NaN,NaN,40,28
2018/5/22 22:10,NaN,NaN,40,27
2018/5/22 22:20,NaN,NaN,41,24
2018/5/22 22:30,NaN,NaN,41,24
2018/5/22 22:40,NaN,NaN,41,25
2018/5/22 22:50,NaN,NaN,41,25
2018/5/22 23:00,NaN,NaN,41,25
2018/5/22 23:10,NaN,NaN,41,25
2018/5/22 23:20,NaN,NaN,41,25
2018/5/22 23:30,NaN,NaN,40,25
2018/5/22 23:40,NaN,NaN,41,25
2018/5/22 23:50,NaN,NaN,41,25
2018/5/23 00:00,NaN,NaN,42,24
2018/5/23 00:10,NaN,NaN,41,24
2018/5/23 00:20,NaN,NaN,40,25
2018/5/23 00:30,NaN,NaN,41,25
2018/5/23 00:40,NaN,NaN,41,25
2018/5/23 00:50,NaN,NaN,41,25
2018/5/23 01:00,NaN,NaN,41,25
2018/5/23 01:10,NaN,NaN,41,23
2018/5/23 01:20,NaN,NaN,41,24
2018/5/23 01:30,NaN,NaN,41,25
2018/5/23 01:40,NaN,NaN,41,24
2018/5/23 01:50,NaN,NaN,41,25
2018/5/23 02:00,NaN,NaN,41,24
2018/5/23 02:10,NaN,NaN,41,25
2018/5/23 02:20,NaN,NaN,41,25
2018/5/23 02:30,NaN,NaN,41,25
2018/5/23 02:40,NaN,NaN,42,25
2018/5/23 02:50,NaN,NaN,41,25
2018/5/23 03:00,NaN,NaN,41,24
2018/5/23 03:10,NaN,NaN,41,24
2018/5/23 03:20,NaN,NaN,41,25
2018/5/23 03:30,NaN,NaN,41,24
2018/5/23 03:40,NaN,NaN,41,25
2018/5/23 03:50,NaN,NaN,41,25
2018/5/23 04:00,NaN,NaN,41,25
2018/5/23 04:10,NaN,NaN,41,25
2018/5/23 04:20,NaN,NaN,41,25
2018/5/23 04:30,NaN,NaN,41,26
2018/5/23 04:40,NaN,NaN,41,25
2018/5/23 04:50,NaN,NaN,41,24
2018/5/23 05:00,NaN,NaN,42,26
2018/5/23 05:10,NaN,NaN,41,26
2018/5/23 05:20,NaN,NaN,42,26
2018/5/23 05:30,NaN,NaN,41,26
2018/5/23 05:40,NaN,NaN,41,26
2018/5/23 05:50,NaN,NaN,42,25
2018/5/23 06:00,NaN,NaN,42,27
2018/5/23 06:10,NaN,NaN,42,27
2018/5/23 06:20,NaN,NaN,41,26
2018/5/23 06:30,NaN,NaN,42,26
2018/5/23 06:40,NaN,NaN,46,27
2018/5/23 06:50,NaN,NaN,50,27
2018/5/23 07:00,NaN,NaN,47,28
2018/5/23 07:10,NaN,NaN,45,31
2018/5/23 07:20,NaN,NaN,44,31
2018/5/23 07:30,NaN,NaN,49,29
2018/5/23 07:40,NaN,NaN,51,30
2018/5/23 07:50,NaN,NaN,53,31
2018/5/23 08:00,NaN,NaN,53,28
2018/5/23 08:10,NaN,NaN,55,31
2018/5/23 08:20,NaN,NaN,61,34
2018/5/23 08:30,NaN,NaN,61,32
2018/5/23 08:40,NaN,NaN,69,33
2018/5/23 08:50,NaN,NaN,71,34
2018/5/23 09:00,NaN,NaN,67,44
2018/5/23 09:10,NaN,NaN,82,46
2018/5/23 09:20,NaN,NaN,88,54
2018/5/23 09:30,NaN,NaN,91,55
2018/5/23 09:40,NaN,NaN,89,58
2018/5/23 09:50,NaN,NaN,83,57
2018/5/23 10:00,NaN,NaN,91,56
2018/5/23 10:10,NaN,NaN,94,55
2018/5/23 10:20,NaN,NaN,100,56
2018/5/23 10:30,NaN,NaN,101,59
2018/5/23 10:40,NaN,NaN,97,59
2018/5/23 10:50,NaN,NaN,99,65
2018/5/23 11:00,NaN,NaN,106,67
2018/5/23 11:10,NaN,NaN,105,64
